Datetime,Banda_A,Banda_B,Banda_C
2026-08-29 15:00:00,175.25811111,80.85530556,35.47984722
2026-08-29 16:00:00,174.05675000,79.76805556,34.97804722
2026-08-29 17:00:00,172.66186111,77.92733333,32.13690000
2026-08-29 18:00:00,170.94427778,75.35580556,28.18628889
2026-08-29 19:00:00,169.44050000,72.63605556,25.33101389
2026-08-29 20:00:00,168.93900000,70.70738889,24.65239167
2026-08-29 21:00:00,169.27405556,70.20077778,25.24279167
2026-08-29 22:00:00,169.64181818,71.06827778,25.74766883
2026-08-30 00:00:00,170.95222672,74.92755556,29.77090688
2026-08-30 01:00:00,172.85852778,76.92488889,29.75853333
2026-08-30 02:00:00,176.13108333,78.37375000,30.07264722
2026-08-30 03:00:00,178.12736111,79.00436111,30.70245000
2026-08-30 04:00:00,177.13705556,79.09150000,31.40663889
2026-08-30 05:00:00,174.31755556,79.36263889,31.84215556
2026-08-30 06:00:00,172.50505556,80.05533333,31.87835278
2026-08-30 07:00:00,173.22394444,80.32469444,31.84801111
2026-08-30 08:00:00,175.03535545,79.21355556,32.09138863
2026-08-30 09:00:00,176.74238908,77.23880556,32.58086689
2026-08-30 10:00:00,178.25255556,76.25969444,33.24180556
2026-08-30 11:00:00,178.78875000,77.44827778,33.44498056
2026-08-30 12:00:00,178.42633333,79.84680556,32.95031944
2026-08-30 13:00:00,177.59386111,81.27100000,32.34350833
2026-08-30 14:00:00,176.74397222,80.52188889,32.28757778
2026-08-30 15:00:00,176.26305556,78.47627778,32.81780278
2026-08-30 16:00:00,175.98394444,76.93616667,33.29035278
2026-08-30 17:00:00,175.11827778,76.58638889,32.88674167
2026-08-30 18:00:00,173.24430556,76.40113889,31.43386111
2026-08-30 19:00:00,171.19402778,75.10566667,29.83136111
2026-08-30 20:00:00,170.26466667,72.92838889,29.17292222
2026-08-30 21:00:00,170.55769444,71.51080556,29.43783611
2026-08-30 22:00:00,171.08486111,72.09644444,29.82393056
2026-08-30 23:00:00,171.22833333,74.29561111,29.91704167
2026-08-31 00:00:00,170.56732143,76.79972222,28.98209643
2026-08-31 01:00:00,171.07422222,78.71958333,29.73592222
2026-08-31 02:00:00,172.88844444,79.89472222,30.74429444
2026-08-31 03:00:00,175.50086111,80.49711111,31.72985556
2026-08-31 04:00:00,177.86238889,80.80816667,32.71370000
2026-08-31 05:00:00,179.35438889,81.10655556,33.76185000
2026-08-31 06:00:00,180.19250000,81.53411111,34.89341389
2026-08-31 07:00:00,180.86983333,82.14316667,36.06223333
2026-08-31 08:00:00,181.35683333,82.93602778,37.05444444
2026-08-31 09:00:00,181.05683333,83.55775000,37.55017500
2026-08-31 10:00:00,179.59908333,83.27091667,37.39218333
2026-08-31 11:00:00,177.44088889,81.80427778,36.61014722
2026-08-31 12:00:00,175.54958333,80.01594444,35.20033889
2026-08-31 13:00:00,174.62358333,79.08219444,33.32519722
